 ****** HSPICE -- O-2018.09-SP2-2 linux64 (May  9 2019) ******
  Copyright (c) 1986 - 2020 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
2
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
vw,wm,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
0.3044811,0.0754538,-1.09162,-1.191404,-0.9927661
0.3044812,0.07545486,-1.087083,-1.186666,-0.9884189
0.3044824,0.07545593,-1.082568,-1.181953,-0.9840919
0.304484,0.07545595,-1.078076,-1.177265,-0.9797848
0.3044869,0.07545681,-1.073604,-1.1726,-0.9754972
0.304487,0.07545769,-1.069155,-1.167959,-0.971229
0.3044879,0.07545819,-1.064726,-1.163341,-0.9669798
0.3044891,0.07545904,-1.060318,-1.158746,-0.9627494
0.3044893,0.0754592,-1.05593,-1.154173,-0.9585375
0.3044896,0.07545939,-1.051563,-1.149623,-0.954344
0.3044906,0.07545991,-1.047216,-1.145095,-0.9501686
0.3044935,0.07546117,-1.042888,-1.140588,-0.946011
0.3044936,0.07546261,-1.03858,-1.136103,-0.9418711
0.3044955,0.07546334,-1.034291,-1.131639,-0.9377485
0.3044969,0.0754641,-1.030021,-1.127196,-0.9336431
0.3044991,0.07546423,-1.02577,-1.122774,-0.9295547
0.3044997,0.0754646,-1.021537,-1.118371,-0.925483
0.3045006,0.07546504,-1.017323,-1.113989,-0.9214279
0.3045008,0.07546506,-1.013126,-1.109627,-0.9173891
0.3045015,0.07546568,-1.008947,-1.105284,-0.9133665
0.3045016,0.07546639,-1.004786,-1.10096,-0.9093598
0.3045052,0.07546648,-1.000642,-1.096655,-0.9053689
0.3045052,0.07546689,-0.996515,-1.092369,-0.9013935
0.3045053,0.07547049,-0.992405,-1.088102,-0.8974334
0.3045055,0.07547148,-0.9883117,-1.083853,-0.8934886
0.3045063,0.07547231,-0.984235,-1.079622,-0.8895587
0.3045071,0.07547248,-0.9801745,-1.075409,-0.8856437
0.3045091,0.07547298,-0.9761301,-1.071213,-0.8817434
0.3045092,0.07547325,-0.9721016,-1.067035,-0.8778575
0.3045111,0.07547335,-0.9680888,-1.062874,-0.8739859
0.3045112,0.07547379,-0.9640916,-1.058731,-0.8701285
0.3045112,0.07547391,-0.9601097,-1.054604,-0.866285
0.3045112,0.0754741,-0.956143,-1.050493,-0.8624554
